,Unnamed: 0,date,odds_1,odds_2,players,score,tournament_name,year
0,0.0,19 Aug 2018,31/10,11/50,Cross R. - van Gerwen M.,11:6,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
1,1.0,19 Aug 2018,13/100,114/25,van Gerwen M. - van Barneveld R.,11:9,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
2,2.0,19 Aug 2018,1/1,77/100,Wright P. - Cross R.,8:11,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
3,3.0,18 Aug 2018,9/100,283/50,Wright P. - Smith R.,10:4,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
4,4.0,18 Aug 2018,1/20,807/100,van Gerwen M. - Anderson K.,10:3,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
5,5.0,18 Aug 2018,1/2,3/2,Cross R. - Cadby C.,10:4,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
6,6.0,18 Aug 2018,33/100,109/50,Anderson G. - van Barneveld R.,8:10,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
7,7.0,17 Aug 2018,3/100,261/25,Anderson G. - Heta D.,6:5,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
8,8.0,17 Aug 2018,27/25,71/100,Whitlock S. - Cadby C.,5:6,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
9,9.0,17 Aug 2018,1/100,392/25,van Gerwen M. - Cleaver M.,6:2,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
10,10.0,17 Aug 2018,1/25,883/100,Cross R. - Pusey T.,6:2,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
11,11.0,17 Aug 2018,1/20,41/5,Wright P. - Thompson J.,6:2,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
12,12.0,17 Aug 2018,1/10,561/100,Anderson K. - Gardner B.,6:2,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
13,13.0,17 Aug 2018,7/100,347/50,van Barneveld R. - Mathers G.,6:1,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
14,14.0,17 Aug 2018,1/20,161/20,Smith M. - Smith R.,1:6,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
15,15.0,20 Aug 2017,23/20,18/25,Wright P. - Taylor P.,8:11,http://www.oddsportal.com/darts/australia/melbourne-masters,2017.0
16,16.0,20 Aug 2017,7/25,257/100,Taylor P. - Whitlock S.,11:4,http://www.oddsportal.com/darts/australia/melbourne-masters,2017.0
17,17.0,20 Aug 2017,133/100,57/100,Gurney D. - Wright P.,4:11,http://www.oddsportal.com/darts/australia/melbourne-masters,2017.0
18,18.0,19 Aug 2017,39/100,189/100,Anderson G. - Gurney D.,8:10,http://www.oddsportal.com/darts/australia/melbourne-masters,2017.0
19,19.0,19 Aug 2017,169/100,11/25,Cadby C. - Taylor P.,9:10,http://www.oddsportal.com/darts/australia/melbourne-masters,2017.0
20,20.0,19 Aug 2017,91/100,21/25,Wade J. - Whitlock S.,9:10,http://www.oddsportal.com/darts/australia/melbourne-masters,2017.0
21,21.0,19 Aug 2017,11/25,33/20,Wright P. - Smith M.,10:9,http://www.oddsportal.com/darts/australia/melbourne-masters,2017.0
22,22.0,18 Aug 2017,103/100,3/4,Whitlock S. - Anderson K.,6:1,http://www.oddsportal.com/darts/australia/melbourne-masters,2017.0
23,23.0,18 Aug 2017,1/100,717/50,Anderson G. - Thompson J.,6:2,http://www.oddsportal.com/darts/australia/melbourne-masters,2017.0
24,24.0,18 Aug 2017,4/5,47/50,van Barneveld R. - Cadby C.,4:6,http://www.oddsportal.com/darts/australia/melbourne-masters,2017.0
25,25.0,18 Aug 2017,1/20,157/20,Taylor P. - Harris C.,6:3,http://www.oddsportal.com/darts/australia/melbourne-masters,2017.0
26,26.0,18 Aug 2017,9/100,293/50,Smith M. - Platt D.,6:3,http://www.oddsportal.com/darts/australia/melbourne-masters,2017.0
27,27.0,18 Aug 2017,2/25,637/100,Wade J. - Kokiri K.,6:3,http://www.oddsportal.com/darts/australia/melbourne-masters,2017.0
28,28.0,18 Aug 2017,3/100,1059/100,Wright P. - Mathewson R.,6:2,http://www.oddsportal.com/darts/australia/melbourne-masters,2017.0
29,29.0,18 Aug 2017,1/25,903/100,Gurney D. - Marland D.,6:0,http://www.oddsportal.com/darts/australia/melbourne-masters,2017.0
30,30.0,12 Aug 2018,31/50,31/25,Wright P. - Smith M.,11:8,http://www.oddsportal.com/darts/australia/melbourne-masters,2018.0
31,31.0,12 Aug 2018,3/20,417/100,van Gerwen M. - Wright P.,7:11,http://www.oddsportal.com/darts/australia/melbourne-masters,2018.0
32,32.0,12 Aug 2018,48/25,39/100,Smith M. - Anderson G.,11:5,http://www.oddsportal.com/darts/australia/melbourne-masters,2018.0
33,33.0,11 Aug 2018,2/25,637/100,van Gerwen M. - Whitlock S.,10:8,http://www.oddsportal.com/darts/australia/melbourne-masters,2018.0
34,34.0,11 Aug 2018,1/50,1327/100,Anderson G. - Heta D.,10:7,http://www.oddsportal.com/darts/australia/melbourne-masters,2018.0
35,35.0,11 Aug 2018,14/25,137/100,Wright P. - van Barneveld R.,10:4,http://www.oddsportal.com/darts/australia/melbourne-masters,2018.0
36,36.0,11 Aug 2018,53/100,147/100,Cross R. - Smith M.,9:10,http://www.oddsportal.com/darts/australia/melbourne-masters,2018.0
37,37.0,10 Aug 2018,1/10,279/50,Anderson K. - Heta D.,5:6,http://www.oddsportal.com/darts/australia/melbourne-masters,2018.0
38,38.0,10 Aug 2018,57/50,17/25,Whitlock S. - Cadby C.,6:4,http://www.oddsportal.com/darts/australia/melbourne-masters,2018.0
39,39.0,10 Aug 2018,1/100,1451/100,van Gerwen M. - Smith R.,6:1,http://www.oddsportal.com/darts/australia/melbourne-masters,2018.0
40,40.0,10 Aug 2018,1/25,9/1,Wright P. - Bonser M.,6:0,http://www.oddsportal.com/darts/australia/melbourne-masters,2018.0
41,41.0,10 Aug 2018,3/100,1027/100,Anderson G. - Bailey J.,6:2,http://www.oddsportal.com/darts/australia/melbourne-masters,2018.0
42,42.0,10 Aug 2018,1/20,863/100,Cross R. - Puha H.,6:2,http://www.oddsportal.com/darts/australia/melbourne-masters,2018.0
43,43.0,10 Aug 2018,7/100,713/100,Smith M. - Pusey T.,6:2,http://www.oddsportal.com/darts/australia/melbourne-masters,2018.0
44,44.0,10 Aug 2018,1/20,861/100,van Barneveld R. - O'Donnell R.,6:4,http://www.oddsportal.com/darts/australia/melbourne-masters,2018.0
45,45.0,24 Aug 2014,9/10,9/10,van Gerwen M. - Taylor P.,9:11,http://www.oddsportal.com/darts/australia/perth-masters,2014.0
46,46.0,24 Aug 2014,31/100,233/100,van Gerwen M. - Wade J.,10:6,http://www.oddsportal.com/darts/australia/perth-masters,2014.0
47,47.0,24 Aug 2014,21/100,63/20,Taylor P. - Chisnall D.,10:4,http://www.oddsportal.com/darts/australia/perth-masters,2014.0
48,48.0,23 Aug 2014,3/25,24/5,van Gerwen M. - Nicholson P.,8:3,http://www.oddsportal.com/darts/australia/perth-masters,2014.0
49,49.0,23 Aug 2014,17/50,107/50,Taylor P. - van Barneveld R.,8:4,http://www.oddsportal.com/darts/australia/perth-masters,2014.0
50,50.0,23 Aug 2014,63/50,3/5,Chisnall D. - Whitlock S.,8:6,http://www.oddsportal.com/darts/australia/perth-masters,2014.0
51,51.0,23 Aug 2014,59/100,32/25,Wade J. - Wright P.,8:7,http://www.oddsportal.com/darts/australia/perth-masters,2014.0
52,52.0,22 Aug 2014,1/25,89/10,van Gerwen M. - Anderson K.,6:0,http://www.oddsportal.com/darts/australia/perth-masters,2014.0
53,53.0,22 Aug 2014,1/100,33/2,Taylor P. - Platt D.,6:4,http://www.oddsportal.com/darts/australia/perth-masters,2014.0
54,54.0,22 Aug 2014,1/50,59/5,Whitlock S. - Cooper V.,6:3,http://www.oddsportal.com/darts/australia/perth-masters,2014.0
55,55.0,22 Aug 2014,1/25,229/25,Wright P. - Parry W.,6:1,http://www.oddsportal.com/darts/australia/perth-masters,2014.0
56,56.0,22 Aug 2014,2/25,59/10,Wade J. - Anderson B.,6:2,http://www.oddsportal.com/darts/australia/perth-masters,2014.0
57,57.0,22 Aug 2014,3/100,101/10,Chisnall D. - Miles J.,6:0,http://www.oddsportal.com/darts/australia/perth-masters,2014.0
58,58.0,22 Aug 2014,1/50,273/25,van Barneveld R. - Ryder L.,6:2,http://www.oddsportal.com/darts/australia/perth-masters,2014.0
59,59.0,22 Aug 2014,1/10,132/25,Nicholson P. - Tichowitsch S.,6:2,http://www.oddsportal.com/darts/australia/perth-masters,2014.0
60,60.0,16 Aug 2015,2/5,2/1,Taylor P. - Wade J.,11:7,http://www.oddsportal.com/darts/australia/perth-masters,2015.0
61,61.0,16 Aug 2015,6/25,3/1,van Gerwen M. - Wade J.,9:10,http://www.oddsportal.com/darts/australia/perth-masters,2015.0
62,62.0,16 Aug 2015,71/100,109/100,Taylor P. - Anderson G.,10:5,http://www.oddsportal.com/darts/australia/perth-masters,2015.0
63,63.0,15 Aug 2015,38/25,13/25,Lewis A. - Anderson G.,7:8,http://www.oddsportal.com/darts/australia/perth-masters,2015.0
64,64.0,15 Aug 2015,21/100,84/25,Taylor P. - Anderson K.,8:3,http://www.oddsportal.com/darts/australia/perth-masters,2015.0
65,65.0,15 Aug 2015,21/100,13/4,van Gerwen M. - van Barneveld R.,8:4,http://www.oddsportal.com/darts/australia/perth-masters,2015.0
66,66.0,15 Aug 2015,79/100,99/100,Wade J. - Wright P.,8:2,http://www.oddsportal.com/darts/australia/perth-masters,2015.0
67,67.0,14 Aug 2015,1/50,649/50,van Gerwen M. - Platt D.,6:4,http://www.oddsportal.com/darts/australia/perth-masters,2015.0
68,68.0,14 Aug 2015,69/100,11/10,van Barneveld R. - Whitlock S.,6:3,http://www.oddsportal.com/darts/australia/perth-masters,2015.0
69,69.0,14 Aug 2015,1/5,83/25,Wright P. - Nicholson P.,6:2,http://www.oddsportal.com/darts/australia/perth-masters,2015.0
70,70.0,14 Aug 2015,11/20,69/50,Bunting S. - Anderson K.,5:6,http://www.oddsportal.com/darts/australia/perth-masters,2015.0
71,71.0,14 Aug 2015,1/50,303/25,Taylor P. - Caldwell C.,6:1,http://www.oddsportal.com/darts/australia/perth-masters,2015.0
72,72.0,14 Aug 2015,1/20,33/4,Lewis A. - Ryder L.,6:1,http://www.oddsportal.com/darts/australia/perth-masters,2015.0
73,73.0,14 Aug 2015,3/100,21/2,Anderson G. - Lewis K.,6:0,http://www.oddsportal.com/darts/australia/perth-masters,2015.0
74,74.0,14 Aug 2015,1/20,941/100,Wade J. - Rowe A.,6:1,http://www.oddsportal.com/darts/australia/perth-masters,2015.0
75,75.0,27 Aug 2016,5/1,3/25,Chisnall D. - van Gerwen M.,4:11,http://www.oddsportal.com/darts/australia/perth-masters,2016.0
76,76.0,27 Aug 2016,3/20,106/25,van Gerwen M. - Wright P.,11:5,http://www.oddsportal.com/darts/australia/perth-masters,2016.0
77,77.0,27 Aug 2016,73/100,107/100,Chisnall D. - van Barneveld R.,11:8,http://www.oddsportal.com/darts/australia/perth-masters,2016.0
78,78.0,26 Aug 2016,221/50,7/50,Cadby C. - Wright P.,2:10,http://www.oddsportal.com/darts/australia/perth-masters,2016.0
79,79.0,26 Aug 2016,39/100,193/100,Anderson G. - Chisnall D.,7:10,http://www.oddsportal.com/darts/australia/perth-masters,2016.0
80,80.0,26 Aug 2016,11/100,137/25,van Gerwen M. - Wade J.,10:8,http://www.oddsportal.com/darts/australia/perth-masters,2016.0
81,81.0,26 Aug 2016,1/2,39/25,Lewis A. - van Barneveld R.,8:10,http://www.oddsportal.com/darts/australia/perth-masters,2016.0
82,82.0,25 Aug 2016,57/100,69/50,van Barneveld R. - Whitlock S.,6:2,http://www.oddsportal.com/darts/australia/perth-masters,2016.0
83,83.0,25 Aug 2016,2/25,329/50,van Gerwen M. - Anderson K.,6:4,http://www.oddsportal.com/darts/australia/perth-masters,2016.0
84,84.0,25 Aug 2016,1/50,733/50,Anderson G. - Lewis K.,6:3,http://www.oddsportal.com/darts/australia/perth-masters,2016.0
85,85.0,25 Aug 2016,3/100,1129/100,Taylor P. - Cadby C.,2:6,http://www.oddsportal.com/darts/australia/perth-masters,2016.0
86,86.0,25 Aug 2016,1/25,1073/100,Lewis A. - Platt D.,6:3,http://www.oddsportal.com/darts/australia/perth-masters,2016.0
87,87.0,25 Aug 2016,1/25,523/50,Wright P. - Rowe A.,6:4,http://www.oddsportal.com/darts/australia/perth-masters,2016.0
88,88.0,25 Aug 2016,3/100,292/25,Chisnall D. - Kokiri K.,6:1,http://www.oddsportal.com/darts/australia/perth-masters,2016.0
89,89.0,25 Aug 2016,3/50,827/100,Wade J. - Szabo R.,6:0,http://www.oddsportal.com/darts/australia/perth-masters,2016.0
90,90.0,27 Aug 2017,39/100,191/100,Anderson G. - van Barneveld R.,11:7,http://www.oddsportal.com/darts/australia/perth-masters,2018.0
91,91.0,27 Aug 2017,22/25,87/100,van Barneveld R. - Gurney D.,11:10,http://www.oddsportal.com/darts/australia/perth-masters,2018.0
92,92.0,27 Aug 2017,7/25,13/5,Anderson G. - Wade J.,11:9,http://www.oddsportal.com/darts/australia/perth-masters,2018.0
93,93.0,26 Aug 2017,1/2,3/2,Wright P. - Gurney D.,4:10,http://www.oddsportal.com/darts/australia/perth-masters,2018.0
94,94.0,26 Aug 2017,19/50,48/25,Taylor P. - van Barneveld R.,9:10,http://www.oddsportal.com/darts/australia/perth-masters,2018.0
95,95.0,26 Aug 2017,21/100,309/100,Anderson G. - Whitlock S.,10:5,http://www.oddsportal.com/darts/australia/perth-masters,2018.0
96,96.0,26 Aug 2017,93/100,41/50,Wade J. - Smith M.,10:5,http://www.oddsportal.com/darts/australia/perth-masters,2018.0
97,97.0,25 Aug 2017,41/50,93/100,van Barneveld R. - Cadby C.,6:5,http://www.oddsportal.com/darts/australia/perth-masters,2018.0
98,98.0,25 Aug 2017,1/100,414/25,Anderson G. - Szabo R.,6:1,http://www.oddsportal.com/darts/australia/perth-masters,2018.0
99,99.0,25 Aug 2017,8/25,113/50,Taylor P. - Anderson K.,6:4,http://www.oddsportal.com/darts/australia/perth-masters,2018.0
100,100.0,25 Aug 2017,1/20,43/5,Whitlock S. - Thompson J.,6:2,http://www.oddsportal.com/darts/australia/perth-masters,2018.0
101,101.0,25 Aug 2017,3/100,111/10,Wade J. - Hayes D.,6:0,http://www.oddsportal.com/darts/australia/perth-masters,2018.0
102,102.0,25 Aug 2017,1/25,461/50,Gurney D. - Kokiri K.,6:0,http://www.oddsportal.com/darts/australia/perth-masters,2018.0
103,103.0,25 Aug 2017,1/50,279/25,Wright P. - Mathewson R.,6:2,http://www.oddsportal.com/darts/australia/perth-masters,2018.0
104,104.0,25 Aug 2017,1/25,243/25,Smith M. - Rowe A.,6:2,http://www.oddsportal.com/darts/australia/perth-masters,2018.0
105,105.0,31 Aug 2013,91/100,91/100,Taylor P. - van Gerwen M.,10:3,http://www.oddsportal.com/darts/australia/sydney-masters,2013.0
106,106.0,31 Aug 2013,53/100,69/50,van Gerwen M. - Lewis A.,10:7,http://www.oddsportal.com/darts/australia/sydney-masters,2013.0
107,107.0,31 Aug 2013,8/25,11/5,Taylor P. - Whitlock S.,10:6,http://www.oddsportal.com/darts/australia/sydney-masters,2013.0
108,108.0,30 Aug 2013,57/100,13/10,Whitlock S. - Hamilton A.,8:1,http://www.oddsportal.com/darts/australia/sydney-masters,2013.0
109,109.0,30 Aug 2013,1/10,267/50,Taylor P. - Nicholson P.,8:2,http://www.oddsportal.com/darts/australia/sydney-masters,2013.0
110,110.0,30 Aug 2013,3/100,19/2,van Gerwen M. - Bridge C.,8:1,http://www.oddsportal.com/darts/australia/sydney-masters,2013.0
111,111.0,30 Aug 2013,39/100,91/50,Lewis A. - Newton W.,8:5,http://www.oddsportal.com/darts/australia/sydney-masters,2013.0
112,112.0,29 Aug 2013,3/100,19/2,Taylor P. - Anderson K.,6:1,http://www.oddsportal.com/darts/australia/sydney-masters,2013.0
113,113.0,29 Aug 2013,1/50,21/2,van Gerwen M. - Mathers G.,6:0,http://www.oddsportal.com/darts/australia/sydney-masters,2013.0
114,114.0,29 Aug 2013,3/100,37/4,Lewis A. - Tuhua M.,6:1,http://www.oddsportal.com/darts/australia/sydney-masters,2013.0
115,115.0,29 Aug 2013,1/25,42/5,Whitlock S. - Mathers J.,6:0,http://www.oddsportal.com/darts/australia/sydney-masters,2013.0
116,116.0,29 Aug 2013,3/50,139/20,Hamilton A. - Anderson B.,6:4,http://www.oddsportal.com/darts/australia/sydney-masters,2013.0
117,117.0,29 Aug 2013,9/100,281/50,Newton W. - Platt D.,6:3,http://www.oddsportal.com/darts/australia/sydney-masters,2013.0
118,118.0,29 Aug 2013,1/25,89/10,van Barneveld R. - Bridge C.,5:6,http://www.oddsportal.com/darts/australia/sydney-masters,2013.0
119,119.0,29 Aug 2013,11/100,503/100,Nicholson P. - Parry W.,6:4,http://www.oddsportal.com/darts/australia/sydney-masters,2013.0
120,120.0,30 Aug 2014,3/1,1/4,Bunting S. - Taylor P.,3:11,http://www.oddsportal.com/darts/australia/sydney-masters,2014.0
121,121.0,30 Aug 2014,7/100,67/10,Taylor P. - Anderson K.,10:4,http://www.oddsportal.com/darts/australia/sydney-masters,2014.0
122,122.0,30 Aug 2014,13/25,71/50,Wade J. - Bunting S.,4:10,http://www.oddsportal.com/darts/australia/sydney-masters,2014.0
123,123.0,29 Aug 2014,11/50,299/100,Whitlock S. - Anderson K.,3:8,http://www.oddsportal.com/darts/australia/sydney-masters,2014.0
124,124.0,29 Aug 2014,11/50,76/25,Taylor P. - Chisnall D.,8:2,http://www.oddsportal.com/darts/australia/sydney-masters,2014.0
125,125.0,29 Aug 2014,281/50,9/100,Parry W. - Wade J.,2:8,http://www.oddsportal.com/darts/australia/sydney-masters,2014.0
126,126.0,29 Aug 2014,4/5,91/100,Wright P. - Bunting S.,6:8,http://www.oddsportal.com/darts/australia/sydney-masters,2014.0
127,127.0,28 Aug 2014,1/25,33/4,van Gerwen M. - Parry W.,5:6,http://www.oddsportal.com/darts/australia/sydney-masters,2014.0
128,128.0,28 Aug 2014,7/100,127/20,Whitlock S. - Platt D.,6:2,http://www.oddsportal.com/darts/australia/sydney-masters,2014.0
129,129.0,28 Aug 2014,3/25,451/100,Taylor P. - Nicholson P.,6:2,http://www.oddsportal.com/darts/australia/sydney-masters,2014.0
130,130.0,28 Aug 2014,3/50,71/10,Wade J. - Tichowitsch S.,6:1,http://www.oddsportal.com/darts/australia/sydney-masters,2014.0
131,131.0,28 Aug 2014,3/20,381/100,van Barneveld R. - Anderson K.,5:6,http://www.oddsportal.com/darts/australia/sydney-masters,2014.0
132,132.0,28 Aug 2014,3/50,673/100,Wright P. - Ryder L.,6:0,http://www.oddsportal.com/darts/australia/sydney-masters,2014.0
133,133.0,28 Aug 2014,7/100,164/25,Bunting S. - Weber J.,6:1,http://www.oddsportal.com/darts/australia/sydney-masters,2014.0
134,134.0,28 Aug 2014,1/20,186/25,Chisnall D. - Heta D.,6:0,http://www.oddsportal.com/darts/australia/sydney-masters,2014.0
135,135.0,22 Aug 2015,111/100,71/100,van Barneveld R. - Lewis A.,9:10,http://www.oddsportal.com/darts/australia/sydney-masters,2015.0
136,136.0,22 Aug 2015,8/25,237/100,Taylor P. - Wright P.,10:7,http://www.oddsportal.com/darts/australia/sydney-masters,2015.0
137,137.0,21 Aug 2015,38/25,51/100,Lewis A. - Anderson G.,8:7,http://www.oddsportal.com/darts/australia/sydney-masters,2015.0
138,138.0,21 Aug 2015,11/50,81/25,van Gerwen M. - van Barneveld R.,4:8,http://www.oddsportal.com/darts/australia/sydney-masters,2015.0
139,139.0,21 Aug 2015,21/100,337/100,Taylor P. - Bunting S.,8:2,http://www.oddsportal.com/darts/australia/sydney-masters,2015.0
140,140.0,21 Aug 2015,13/20,6/5,Wade J. - Wright P.,6:8,http://www.oddsportal.com/darts/australia/sydney-masters,2015.0
141,141.0,20 Aug 2015,1/25,232/25,van Gerwen M. - Nicholson P.,6:2,http://www.oddsportal.com/darts/australia/sydney-masters,2015.0
142,142.0,20 Aug 2015,47/100,41/25,Lewis A. - Whitlock S.,6:5,http://www.oddsportal.com/darts/australia/sydney-masters,2015.0
143,143.0,20 Aug 2015,3/100,1099/100,Taylor P. - Bridge C.,6:2,http://www.oddsportal.com/darts/australia/sydney-masters,2015.0
144,144.0,20 Aug 2015,3/50,83/10,Wright P. - Ryder L.,6:3,http://www.oddsportal.com/darts/australia/sydney-masters,2015.0
145,145.0,20 Aug 2015,1/25,234/25,Anderson G. - Parry W.,6:0,http://www.oddsportal.com/darts/australia/sydney-masters,2015.0
146,146.0,20 Aug 2015,1/20,17/2,Wade J. - Caldwell C.,6:2,http://www.oddsportal.com/darts/australia/sydney-masters,2015.0
147,147.0,20 Aug 2015,19/100,351/100,Bunting S. - Platt D.,6:1,http://www.oddsportal.com/darts/australia/sydney-masters,2015.0
148,148.0,20 Aug 2015,1/20,861/100,van Barneveld R. - Harris C.,6:3,http://www.oddsportal.com/darts/australia/sydney-masters,2015.0
149,149.0,20 Aug 2016,59/25,17/50,Taylor P. - van Gerwen M.,11:9,http://www.oddsportal.com/darts/australia/sydney-masters,2018.0
150,150.0,20 Aug 2016,7/50,116/25,van Gerwen M. - Wright P.,11:6,http://www.oddsportal.com/darts/australia/sydney-masters,2018.0
151,151.0,20 Aug 2016,23/100,319/100,Taylor P. - Chisnall D.,11:4,http://www.oddsportal.com/darts/australia/sydney-masters,2018.0
152,152.0,19 Aug 2016,7/100,181/25,van Gerwen M. - Anderson K.,10:6,http://www.oddsportal.com/darts/australia/sydney-masters,2018.0
153,153.0,19 Aug 2016,87/100,23/25,Anderson G. - Taylor P.,2:10,http://www.oddsportal.com/darts/australia/sydney-masters,2018.0
154,154.0,19 Aug 2016,1103/100,1/25,Mathewson R. - Wright P.,4:10,http://www.oddsportal.com/darts/australia/sydney-masters,2018.0
155,155.0,19 Aug 2016,73/100,109/100,Lewis A. - Chisnall D.,5:10,http://www.oddsportal.com/darts/australia/sydney-masters,2018.0
156,156.0,18 Aug 2016,63/100,123/100,van Barneveld R. - Anderson K.,1:6,http://www.oddsportal.com/darts/australia/sydney-masters,2018.0
157,157.0,18 Aug 2016,1/100,19/1,van Gerwen M. - Harris C.,6:2,http://www.oddsportal.com/darts/australia/sydney-masters,2018.0
158,158.0,18 Aug 2016,9/25,41/20,Wright P. - Whitlock S.,6:2,http://www.oddsportal.com/darts/australia/sydney-masters,2018.0
159,159.0,18 Aug 2016,1/50,1583/100,Anderson G. - Platt D.,6:3,http://www.oddsportal.com/darts/australia/sydney-masters,2018.0
160,160.0,18 Aug 2016,1/50,59/4,Taylor P. - Cadby C.,6:3,http://www.oddsportal.com/darts/australia/sydney-masters,2018.0
161,161.0,18 Aug 2016,1/50,643/50,Lewis A. - Szabo R.,6:3,http://www.oddsportal.com/darts/australia/sydney-masters,2018.0
162,162.0,18 Aug 2016,1/50,72/5,Chisnall D. - Kemp H.,6:1,http://www.oddsportal.com/darts/australia/sydney-masters,2018.0
163,163.0,18 Aug 2016,1/50,77/5,Wade J. - Mathewson R.,5:6,http://www.oddsportal.com/darts/australia/sydney-masters,2018.0
164,164.0,26 Jun 2016,9/50,381/100,van Gerwen M. - Chisnall D.,8:5,http://www.oddsportal.com/darts/china/shanghai-masters,2016.0
165,165.0,26 Jun 2016,221/100,7/20,Wade J. - Taylor P.,8:6,http://www.oddsportal.com/darts/china/shanghai-masters,2016.0
166,166.0,26 Jun 2016,33/50,121/100,Lewis A. - Chisnall D.,6:8,http://www.oddsportal.com/darts/china/shanghai-masters,2016.0
167,167.0,26 Jun 2016,1/5,349/100,van Gerwen M. - van Barneveld R.,8:4,http://www.oddsportal.com/darts/china/shanghai-masters,2016.0
168,168.0,26 Jun 2016,37/100,207/100,Taylor P. - Wright P.,8:7,http://www.oddsportal.com/darts/china/shanghai-masters,2016.0
169,169.0,26 Jun 2016,9/25,213/100,Anderson G. - Wade J.,7:8,http://www.oddsportal.com/darts/china/shanghai-masters,2016.0
170,170.0,25 Jun 2016,1/100,468/25,Anderson G. - Yunfei J.,6:0,http://www.oddsportal.com/darts/china/shanghai-masters,2016.0
171,171.0,25 Jun 2016,1/100,1663/100,van Gerwen M. - Lim P.,6:4,http://www.oddsportal.com/darts/china/shanghai-masters,2016.0
172,172.0,25 Jun 2016,1/100,1889/100,Lewis A. - Shen J.,6:0,http://www.oddsportal.com/darts/china/shanghai-masters,2016.0
173,173.0,25 Jun 2016,1/100,929/50,Taylor P. - Liu Y.,6:1,http://www.oddsportal.com/darts/china/shanghai-masters,2016.0
174,174.0,25 Jun 2016,3/50,813/100,Chisnall D. - MacKenzie S.,6:2,http://www.oddsportal.com/darts/china/shanghai-masters,2016.0
175,175.0,25 Jun 2016,3/100,1369/100,Wade J. - Lai S.,6:1,http://www.oddsportal.com/darts/china/shanghai-masters,2016.0
176,176.0,25 Jun 2016,7/100,399/50,Wright P. - Lam R.,6:1,http://www.oddsportal.com/darts/china/shanghai-masters,2016.0
177,177.0,25 Jun 2016,3/100,1411/100,van Barneveld R. - Wen L.,6:2,http://www.oddsportal.com/darts/china/shanghai-masters,2016.0
178,178.0,07 Jul 2017,41/10,4/25,Chisnall D. - van Gerwen M.,0:8,http://www.oddsportal.com/darts/china/shanghai-masters,2017.0
179,179.0,07 Jul 2017,3/25,529/100,van Gerwen M. - Wade J.,8:3,http://www.oddsportal.com/darts/china/shanghai-masters,2017.0
180,180.0,07 Jul 2017,17/20,91/100,van Barneveld R. - Chisnall D.,4:8,http://www.oddsportal.com/darts/china/shanghai-masters,2017.0
181,181.0,07 Jul 2017,27/100,13/5,Wright P. - Wade J.,5:8,http://www.oddsportal.com/darts/china/shanghai-masters,2017.0
182,182.0,07 Jul 2017,23/100,291/100,van Gerwen M. - Taylor P.,8:7,http://www.oddsportal.com/darts/china/shanghai-masters,2017.0
183,183.0,07 Jul 2017,8/5,23/50,Price G. - Chisnall D.,4:8,http://www.oddsportal.com/darts/china/shanghai-masters,2017.0
184,184.0,07 Jul 2017,17/50,209/100,Anderson G. - van Barneveld R.,1:8,http://www.oddsportal.com/darts/china/shanghai-masters,2017.0
185,185.0,06 Jul 2017,1/100,789/50,Anderson G. - Li W.,6:0,http://www.oddsportal.com/darts/china/shanghai-masters,2017.0
186,186.0,06 Jul 2017,1/100,398/25,van Gerwen M. - Chen H. L.,6:0,http://www.oddsportal.com/darts/china/shanghai-masters,2017.0
187,187.0,06 Jul 2017,3/100,481/50,Wright P. - Muramatsu H.,6:0,http://www.oddsportal.com/darts/china/shanghai-masters,2017.0
188,188.0,06 Jul 2017,3/25,469/100,Chisnall D. - Lim P.,6:1,http://www.oddsportal.com/darts/china/shanghai-masters,2017.0
189,189.0,06 Jul 2017,1/50,1199/100,Taylor P. - Park H. C.,6:1,http://www.oddsportal.com/darts/china/shanghai-masters,2017.0
190,190.0,06 Jul 2017,3/100,1011/100,Wade J. - Zong X. C.,6:0,http://www.oddsportal.com/darts/china/shanghai-masters,2017.0
191,191.0,06 Jul 2017,1/100,1283/100,van Barneveld R. - Liu C. A.,6:0,http://www.oddsportal.com/darts/china/shanghai-masters,2017.0
192,192.0,06 Jul 2017,7/50,409/100,Price G. - Lam R.,6:2,http://www.oddsportal.com/darts/china/shanghai-masters,2017.0
193,193.0,14 Jul 2018,29/20,53/100,Smith M. - Cross R.,8:2,http://www.oddsportal.com/darts/china/shanghai-masters,2018.0
194,194.0,14 Jul 2018,14/25,143/100,Cross R. - Wright P.,8:5,http://www.oddsportal.com/darts/china/shanghai-masters,2018.0
