,player_name,date,event,category,event_round,result,opponent,score,average
0,Michael van Gerwen,19/08/2018,Brisbane Masters,PDC U,Final,Lost,Rob Cross,6 V 11,98.41
1,Michael van Gerwen,19/08/2018,Brisbane Masters,PDC U,Semi Final,Won,Raymond van Barneveld,11 V 9,96.81
2,Michael van Gerwen,18/08/2018,Brisbane Masters,PDC U,Quarter Final,Won,Kyle Anderson,10 V 3,98.44
3,Michael van Gerwen,17/08/2018,Brisbane Masters,PDC U,Last 16,Won,Mark Cleaver,6 V 2,99.15
4,Michael van Gerwen,12/08/2018,Melbourne Masters,PDC U,Semi Final,Lost,Peter Wright,7 V 11,103.47
5,Michael van Gerwen,11/08/2018,Melbourne Masters,PDC U,Quarter Final,Won,Simon Whitlock,10 V 8,100.20
6,Michael van Gerwen,10/08/2018,Melbourne Masters,PDC U,Last 16,Won,Raymond Smith,6 V 1,112.61
7,Michael van Gerwen,05/08/2018,Auckland Masters,PDC U,Final,Won,Raymond van Barneveld,11 V 4,97.72
8,Michael van Gerwen,05/08/2018,Auckland Masters,PDC U,Semi Final,Won,Peter Wright,10 V 3,102.76
9,Michael van Gerwen,04/08/2018,Auckland Masters,PDC U,Quarter Final,Won,Gary Anderson,10 V 4,105.87
10,Michael van Gerwen,03/08/2018,Auckland Masters,PDC U,Last 16,Won,Tuhuna Irwin,6 V 2,102.45
11,Michael van Gerwen,21/07/2018,World Matchplay,PDC Premier,Last 32,Lost,Jeffrey de Zwaan,6 V 10,97.88
12,Michael van Gerwen,14/07/2018,Shanghai Masters,PDC U,Semi Final,Lost,Michael Smith,4 V 8,93.22
13,Michael van Gerwen,14/07/2018,Shanghai Masters,PDC U,Quarter Final,Won,Daryl Gurney,8 V 4,99.24
14,Michael van Gerwen,13/07/2018,Shanghai Masters,PDC U,Last 16,Won,Lihao Wen,6 V 1,104.02
15,Michael van Gerwen,07/07/2018,US Darts Masters,PDC U,Quarter Final,Lost,James Wade,3 V 8,104.54
16,Michael van Gerwen,06/07/2018,US Darts Masters,PDC U,Last 16,Won,Jeff Smith,6 V 0,101.33
17,Michael van Gerwen,01/07/2018,PDC European Matchplay,PDC ET,Final,Won,Willie O Connor,8 V 2,105.17
18,Michael van Gerwen,01/07/2018,PDC European Matchplay,PDC ET,Semi Final,Won,Stephen Bunting,7 V 4,99.55
19,Michael van Gerwen,01/07/2018,PDC European Matchplay,PDC ET,Quarter Final,Won,Ian White,6 V 4,104.82
20,Michael van Gerwen,01/07/2018,PDC European Matchplay,PDC ET,Last 16,Won,Robert Thornton,6 V 1,101.33
21,Michael van Gerwen,30/06/2018,PDC European Matchplay,PDC ET,Last 32,Won,Ryan Joyce,6 V 2,104.87
22,Michael van Gerwen,24/06/2018,PDC Danish Open,PDC ET,Last 16,Lost,Brendan Dolan,4 V 6,95.17
23,Michael van Gerwen,23/06/2018,PDC Danish Open,PDC ET,Last 32,Won,Scott Taylor,6 V 2,91.30
24,Michael van Gerwen,10/06/2018,PDC Gibraltar Darts Trophy,PDC ET,Final,Won,Adrian Lewis,8 V 3,108.13
25,Michael van Gerwen,10/06/2018,PDC Gibraltar Darts Trophy,PDC ET,Semi Final,Won,Steve West,7 V 4,105.20
26,Michael van Gerwen,10/06/2018,PDC Gibraltar Darts Trophy,PDC ET,Quarter Final,Won,Johnny Clayton,6 V 2,97.39
27,Michael van Gerwen,10/06/2018,PDC Gibraltar Darts Trophy,PDC ET,Last 16,Won,Andy Boulton,6 V 2,103.26
28,Michael van Gerwen,09/06/2018,PDC Gibraltar Darts Trophy,PDC ET,Last 32,Won,Vincent van der Voort,6 V 4,107.86
29,Michael van Gerwen,03/06/2018,PDC World Cup of Darts,PDC U,Final Sub Match,Won,Gary Anderson,4 V 0,111.33
30,Michael van Gerwen,03/06/2018,PDC World Cup of Darts,PDC U,Final Sub Match,Won,Peter Wright,4 V 2,97.20
31,Michael van Gerwen,03/06/2018,PDC World Cup of Darts,PDC U,Semi Final Sub Match,Won,Kim Huybrechts,4 V 2,105.78
32,Michael van Gerwen,03/06/2018,PDC World Cup of Darts,PDC U,Quarter Final Sub Match,Won,Martin Schindler,4 V 1,109.61
33,Michael van Gerwen,02/06/2018,PDC World Cup of Darts,PDC U,Last 16 Sub Match,Won,Liam O Brien,4 V 0,95.43
34,Michael van Gerwen,25/05/2018,PDC German Darts Masters World Series,PDC U,Quarter Final,Lost,Dimitri van den Bergh,3 V 8,98.72
35,Michael van Gerwen,25/05/2018,PDC German Darts Masters World Series,PDC U,Last 16,Won,Max Hopp,6 V 4,106.46
36,Michael van Gerwen,17/05/2018,Premier League,PDC U,Final,Won,Michael Smith,11 V 4,112.37
37,Michael van Gerwen,17/05/2018,Premier League,PDC U,Semi Final,Won,Rob Cross,10 V 6,103.65
38,Michael van Gerwen,13/05/2018,PDC Dutch Darts Masters,PDC ET,Final,Won,Steve Lennon,8 V 5,97.53
39,Michael van Gerwen,13/05/2018,PDC Dutch Darts Masters,PDC ET,Semi Final,Won,Daryl Gurney,7 V 6,93.34
40,Michael van Gerwen,13/05/2018,PDC Dutch Darts Masters,PDC ET,Quarter Final,Won,Kyle Anderson,6 V 2,102.78
41,Michael van Gerwen,13/05/2018,PDC Dutch Darts Masters,PDC ET,Last 16,Won,Darren Webster,6 V 4,91.97
42,Michael van Gerwen,12/05/2018,PDC Dutch Darts Masters,PDC ET,Last 32,Won,Terry Jenkins,6 V 0,95.94
43,Michael van Gerwen,10/05/2018,Premier League,PDC U,League 10,Lost,Gary Anderson,5 V 7,100.41
44,Michael van Gerwen,06/05/2018,PDC European Darts Grand Prix,PDC ET,Final,Won,James Wade,8 V 3,110.87
45,Michael van Gerwen,06/05/2018,PDC European Darts Grand Prix,PDC ET,Semi Final,Won,Michael Smith,7 V 0,109.59
46,Michael van Gerwen,06/05/2018,PDC European Darts Grand Prix,PDC ET,Quarter Final,Won,Dave Chisnall,6 V 4,109.54
47,Michael van Gerwen,06/05/2018,PDC European Darts Grand Prix,PDC ET,Last 16,Won,Darren Webster,6 V 5,104.80
48,Michael van Gerwen,05/05/2018,PDC European Darts Grand Prix,PDC ET,Last 32,Won,Alan Tabern,6 V 2,103.04
49,Michael van Gerwen,03/05/2018,Premier League,PDC U,League 10,Won,Rob Cross,7 V 2,111.57
50,Michael van Gerwen,29/04/2018,PDPA Players Championship Wigan 10,PDC Pro Tour,Quarter Final,Lost,Johnny Clayton,4 V 6,103.49
51,Michael van Gerwen,29/04/2018,PDPA Players Championship Wigan 10,PDC Pro Tour,Last 16,Won,Mark Webster,6 V 2,102.74
52,Michael van Gerwen,29/04/2018,PDPA Players Championship Wigan 10,PDC Pro Tour,Last 32,Won,Gary Eastwood,6 V 0,93.94
53,Michael van Gerwen,29/04/2018,PDPA Players Championship Wigan 10,PDC Pro Tour,Last 64,Won,Robert Thornton,6 V 1,95.48
54,Michael van Gerwen,29/04/2018,PDPA Players Championship Wigan 10,PDC Pro Tour,Last 128,Won,Ronny Huybrechts,6 V 1,110.55
55,Michael van Gerwen,28/04/2018,PDPA Players Championship Wigan 9,PDC Pro Tour,Final,Won,Scott Taylor,6 V 4,100.86
56,Michael van Gerwen,28/04/2018,PDPA Players Championship Wigan 9,PDC Pro Tour,Semi Final,Won,James Wade,6 V 4,96.32
57,Michael van Gerwen,28/04/2018,PDPA Players Championship Wigan 9,PDC Pro Tour,Quarter Final,Won,Johnny Clayton,6 V 3,95.11
58,Michael van Gerwen,28/04/2018,PDPA Players Championship Wigan 9,PDC Pro Tour,Last 16,Won,Simon Whitlock,6 V 1,101.08
59,Michael van Gerwen,28/04/2018,PDPA Players Championship Wigan 9,PDC Pro Tour,Last 32,Won,Jermaine Wattimena,6 V 3,106.78
60,Michael van Gerwen,28/04/2018,PDPA Players Championship Wigan 9,PDC Pro Tour,Last 64,Won,Darren Johnson,6 V 1,101.26
61,Michael van Gerwen,28/04/2018,PDPA Players Championship Wigan 9,PDC Pro Tour,Last 128,Won,Jamie Lewis,6 V 2,105.46
62,Michael van Gerwen,26/04/2018,Premier League,PDC U,League 10,Won,Michael Smith,7 V 1,94.76
63,Michael van Gerwen,26/04/2018,Premier League,PDC U,League 10,Drew,Daryl Gurney,6 V 6,104.96
64,Michael van Gerwen,19/04/2018,Premier League,PDC U,League 10,Lost,Raymond van Barneveld,5 V 7,103.73
65,Michael van Gerwen,18/04/2018,Premier League,PDC U,League 10,Lost,Peter Wright,5 V 7,106.87
66,Michael van Gerwen,15/04/2018,PDC German Open,PDC ET,Quarter Final,Lost,Ian White,2 V 6,100.23
67,Michael van Gerwen,15/04/2018,PDC German Open,PDC ET,Last 16,Won,Alan Tabern,6 V 4,98.72
68,Michael van Gerwen,14/04/2018,PDC German Open,PDC ET,Last 32,Won,Danny Noppert,6 V 1,95.86
69,Michael van Gerwen,12/04/2018,Premier League,PDC U,League 10,Won,Simon Whitlock,7 V 1,102.37
70,Michael van Gerwen,05/04/2018,Premier League,PDC U,League 10,Won,Mensur Suljovic,7 V 4,106.34
71,Michael van Gerwen,02/04/2018,PDC German Darts Grand Prix,PDC ET,Final,Won,Peter Wright,8 V 5,99.24
72,Michael van Gerwen,02/04/2018,PDC German Darts Grand Prix,PDC ET,Semi Final,Won,Daryl Gurney,7 V 3,99.76
73,Michael van Gerwen,02/04/2018,PDC German Darts Grand Prix,PDC ET,Quarter Final,Won,Keegan Brown,6 V 0,102.48
74,Michael van Gerwen,02/04/2018,PDC German Darts Grand Prix,PDC ET,Last 16,Won,Alan Norris,6 V 1,105.38
75,Michael van Gerwen,01/04/2018,PDC German Darts Grand Prix,PDC ET,Last 32,Won,Steve Lennon,6 V 5,95.20
76,Michael van Gerwen,29/03/2018,Premier League,PDC U,League 10,Won,Raymond van Barneveld,7 V 2,104.47
77,Michael van Gerwen,25/03/2018,PDC European Darts Open,PDC ET,Final,Won,Peter Wright,8 V 7,102.04
78,Michael van Gerwen,25/03/2018,PDC European Darts Open,PDC ET,Semi Final,Won,Richard North,7 V 1,103.30
79,Michael van Gerwen,25/03/2018,PDC European Darts Open,PDC ET,Quarter Final,Won,Simon Whitlock,6 V 1,101.61
80,Michael van Gerwen,25/03/2018,PDC European Darts Open,PDC ET,Last 16,Won,Alan Norris,6 V 3,105.99
81,Michael van Gerwen,24/03/2018,PDC European Darts Open,PDC ET,Last 32,Won,Cameron Menzies,6 V 3,94.82
82,Michael van Gerwen,22/03/2018,Premier League,PDC U,League 10,Won,Michael Smith,7 V 2,101.56
83,Michael van Gerwen,18/03/2018,PDPA Players Championship Milton Keynes 6,PDC Pro Tour,Last 32,Lost,Jermaine Wattimena,4 V 6,96.04
84,Michael van Gerwen,18/03/2018,PDPA Players Championship Milton Keynes 6,PDC Pro Tour,Last 64,Won,Robbie Green,6 V 1,92.18
85,Michael van Gerwen,18/03/2018,PDPA Players Championship Milton Keynes 6,PDC Pro Tour,Last 128,Won,Steve Lennon,6 V 4,102.64
86,Michael van Gerwen,17/03/2018,PDPA Players Championship Milton Keynes 5,PDC Pro Tour,Final,Won,Chris Dobey,6 V 2,99.58
87,Michael van Gerwen,17/03/2018,PDPA Players Championship Milton Keynes 5,PDC Pro Tour,Semi Final,Won,James Wade,6 V 2,103.69
88,Michael van Gerwen,17/03/2018,PDPA Players Championship Milton Keynes 5,PDC Pro Tour,Quarter Final,Won,Gary Anderson,6 V 1,103.48
89,Michael van Gerwen,17/03/2018,PDPA Players Championship Milton Keynes 5,PDC Pro Tour,Last 16,Won,Jimmy Hendriks,6 V 2,99.03
90,Michael van Gerwen,17/03/2018,PDPA Players Championship Milton Keynes 5,PDC Pro Tour,Last 32,Won,Keegan Brown,6 V 3,101.35
91,Michael van Gerwen,17/03/2018,PDPA Players Championship Milton Keynes 5,PDC Pro Tour,Last 64,Won,Jeffrey de Zwaan,6 V 3,94.33
92,Michael van Gerwen,17/03/2018,PDPA Players Championship Milton Keynes 5,PDC Pro Tour,Last 128,Won,Ricky Evans,6 V 5,106.89
93,Michael van Gerwen,15/03/2018,Premier League,PDC U,League 10,Won,Gerwyn Price,7 V 3,104.80
94,Michael van Gerwen,08/03/2018,Premier League,PDC U,League 10,Won,Simon Whitlock,7 V 4,100.17
95,Michael van Gerwen,02/03/2018,UK Open,PDC Premier,Last 64,Lost,Jeffrey de Zwaan,8 V 10,96.47
96,Michael van Gerwen,22/02/2018,Premier League,PDC U,League 10,Won,Daryl Gurney,7 V 2,103.42
97,Michael van Gerwen,18/02/2018,PDPA Players Championship Barnsley 2,PDC Pro Tour,Final,Won,Corey Cadby,6 V 1,101.68
98,Michael van Gerwen,18/02/2018,PDPA Players Championship Barnsley 2,PDC Pro Tour,Semi Final,Won,Simon Stevenson,6 V 2,85.29
99,Michael van Gerwen,18/02/2018,PDPA Players Championship Barnsley 2,PDC Pro Tour,Quarter Final,Won,Adrian Lewis,6 V 2,109.99
100,Michael van Gerwen,18/02/2018,PDPA Players Championship Barnsley 2,PDC Pro Tour,Last 16,Won,Luke Woodhouse,6 V 5,94.77
101,Michael van Gerwen,18/02/2018,PDPA Players Championship Barnsley 2,PDC Pro Tour,Last 32,Won,Ryan Searle,6 V 5,105.83
102,Michael van Gerwen,18/02/2018,PDPA Players Championship Barnsley 2,PDC Pro Tour,Last 64,Won,Jamie Lewis,6 V 3,97.76
103,Michael van Gerwen,18/02/2018,PDPA Players Championship Barnsley 2,PDC Pro Tour,Last 128,Won,Steve Lennon,6 V 1,98.69
104,Michael van Gerwen,17/02/2018,PDPA Players Championship Barnsley 1,PDC Pro Tour,Final,Won,James Wade,6 V 4,103.82
105,Michael van Gerwen,17/02/2018,PDPA Players Championship Barnsley 1,PDC Pro Tour,Semi Final,Won,Gerwyn Price,6 V 3,101.02
106,Michael van Gerwen,17/02/2018,PDPA Players Championship Barnsley 1,PDC Pro Tour,Quarter Final,Won,Dave Chisnall,6 V 0,101.33
107,Michael van Gerwen,17/02/2018,PDPA Players Championship Barnsley 1,PDC Pro Tour,Last 16,Won,Danny Noppert,6 V 4,107.64
108,Michael van Gerwen,17/02/2018,PDPA Players Championship Barnsley 1,PDC Pro Tour,Last 32,Won,Josh Payne,6 V 1,102.09
109,Michael van Gerwen,17/02/2018,PDPA Players Championship Barnsley 1,PDC Pro Tour,Last 64,Won,Jermaine Wattimena,6 V 0,93.94
110,Michael van Gerwen,17/02/2018,PDPA Players Championship Barnsley 1,PDC Pro Tour,Last 128,Won,Terry Temple,6 V 0,94.93
111,Michael van Gerwen,15/02/2018,Premier League,PDC U,League 10,Won,Gary Anderson,7 V 3,110.62
112,Michael van Gerwen,08/02/2018,Premier League,PDC U,League 10,Lost,Peter Wright,5 V 7,101.12
113,Michael van Gerwen,04/02/2018,UK Open Qualifier 3,PDC Pro Tour,Quarter Final,Lost,Michael Smith,1 V 6,97.18
114,Michael van Gerwen,04/02/2018,UK Open Qualifier 3,PDC Pro Tour,Last 16,Won,Jermaine Wattimena,6 V 2,95.61
115,Michael van Gerwen,04/02/2018,UK Open Qualifier 3,PDC Pro Tour,Last 32,Won,Vincent van der Voort,6 V 2,94.80
116,Michael van Gerwen,04/02/2018,UK Open Qualifier 3,PDC Pro Tour,Last 64,Won,Tytus Kanik,6 V 3,109.19
117,Michael van Gerwen,04/02/2018,UK Open Qualifier 3,PDC Pro Tour,Last 128,Won,Kevin Edwards,6 V 2,99.88
118,Michael van Gerwen,03/02/2018,UK Open Qualifier 2,PDC Pro Tour,Final,Won,Darren Webster,6 V 3,98.33
119,Michael van Gerwen,03/02/2018,UK Open Qualifier 2,PDC Pro Tour,Semi Final,Won,Peter Wright,6 V 4,94.93
120,Michael van Gerwen,03/02/2018,UK Open Qualifier 2,PDC Pro Tour,Quarter Final,Won,Richard North,6 V 4,106.73
121,Michael van Gerwen,03/02/2018,UK Open Qualifier 2,PDC Pro Tour,Last 16,Won,Ricky Evans,6 V 2,97.35
122,Michael van Gerwen,03/02/2018,UK Open Qualifier 2,PDC Pro Tour,Last 32,Won,Rene Berndt,6 V 1,94.88
123,Michael van Gerwen,03/02/2018,UK Open Qualifier 2,PDC Pro Tour,Last 64,Won,Dimitri van den Bergh,6 V 3,104.80
124,Michael van Gerwen,03/02/2018,UK Open Qualifier 2,PDC Pro Tour,Last 128,Won,Ross Twell,6 V 1,103.10
125,Michael van Gerwen,02/02/2018,UK Open Qualifier 1,PDC Pro Tour,Final,Won,Michael Smith,6 V 3,105.50
126,Michael van Gerwen,02/02/2018,UK Open Qualifier 1,PDC Pro Tour,Semi Final,Won,Adrian Lewis,6 V 3,108.47
127,Michael van Gerwen,02/02/2018,UK Open Qualifier 1,PDC Pro Tour,Quarter Final,Won,Daryl Gurney,6 V 1,102.95
128,Michael van Gerwen,02/02/2018,UK Open Qualifier 1,PDC Pro Tour,Last 16,Won,Simon Stevenson,6 V 3,100.14
129,Michael van Gerwen,02/02/2018,UK Open Qualifier 1,PDC Pro Tour,Last 32,Won,Robert Thornton,6 V 1,105.30
130,Michael van Gerwen,02/02/2018,UK Open Qualifier 1,PDC Pro Tour,Last 64,Won,Willie O Connor,6 V 1,109.94
131,Michael van Gerwen,02/02/2018,UK Open Qualifier 1,PDC Pro Tour,Last 128,Won,Ian Moss,6 V 3,105.33
132,Michael van Gerwen,01/02/2018,Premier League,PDC U,League 10,Won,Rob Cross,7 V 2,100.80
133,Michael van Gerwen,28/01/2018,The Masters,PDC U,Final,Won,Raymond van Barneveld,11 V 9,105.85
134,Michael van Gerwen,28/01/2018,The Masters,PDC U,Semi Final,Won,Gary Anderson,11 V 5,101.96
135,Michael van Gerwen,28/01/2018,The Masters,PDC U,Quarter Final,Won,James Wade,10 V 2,111.14
136,Michael van Gerwen,27/01/2018,The Masters,PDC U,Last 16,Won,Kim Huybrechts,10 V 6,102.68
137,Michael van Gerwen,30/12/2017,PDC World Championship,PDC WC,Semi Final,Lost,Rob Cross,5 V 6,102.44
138,Michael van Gerwen,29/12/2017,PDC World Championship,PDC WC,Quarter Final,Won,Raymond van Barneveld,5 V 4,102.91
139,Michael van Gerwen,27/12/2017,PDC World Championship,PDC WC,Last 16,Won,Gerwyn Price,4 V 2,100.06
140,Michael van Gerwen,22/12/2017,PDC World Championship,PDC WC,Last 32,Won,James Wilson,4 V 0,108.65
141,Michael van Gerwen,14/12/2017,PDC World Championship,PDC WC,Last 64,Won,Christian Kist,3 V 1,106.17
142,Michael van Gerwen,26/11/2017,Players Championship Finals,PDC Premier,Final,Won,Johnny Clayton,11 V 2,105.50
143,Michael van Gerwen,26/11/2017,Players Championship Finals,PDC Premier,Semi Final,Won,Justin Pipe,11 V 3,103.72
144,Michael van Gerwen,26/11/2017,Players Championship Finals,PDC Premier,Quarter Final,Won,Jan Dekker,10 V 7,105.08
145,Michael van Gerwen,25/11/2017,Players Championship Finals,PDC Premier,Last 16,Won,Darren Webster,10 V 5,102.68
146,Michael van Gerwen,25/11/2017,Players Championship Finals,PDC Premier,Last 32,Won,Steve West,6 V 2,108.28
147,Michael van Gerwen,24/11/2017,Players Championship Finals,PDC Premier,Last 64,Won,Paul Nicholson,6 V 2,100.11
148,Michael van Gerwen,19/11/2017,Grand Slam Of Darts,PDC Premier,Final,Won,Peter Wright,16 V 12,102.18
149,Michael van Gerwen,19/11/2017,Grand Slam Of Darts,PDC Premier,Semi Final,Won,Phil Taylor,16 V 8,106.87
150,Michael van Gerwen,18/11/2017,Grand Slam Of Darts,PDC Premier,Quarter Final,Won,Rob Cross,16 V 13,104.26
151,Michael van Gerwen,16/11/2017,Grand Slam Of Darts,PDC Premier,Last 16,Won,Steve Lennon,10 V 3,104.98
152,Michael van Gerwen,14/11/2017,Grand Slam Of Darts,PDC Premier,Last 32 Group,Won,Joe Murnan,5 V 2,108.29
153,Michael van Gerwen,12/11/2017,Grand Slam Of Darts,PDC Premier,Last 32 Group,Won,Rob Cross,5 V 4,108.28
154,Michael van Gerwen,11/11/2017,Grand Slam Of Darts,PDC Premier,Last 32 Group,Won,Ross Montgomery,5 V 1,100.95
155,Michael van Gerwen,05/11/2017,World Series Of Darts Finals,PDC U,Final,Won,Gary Anderson,11 V 6,103.30
156,Michael van Gerwen,05/11/2017,World Series Of Darts Finals,PDC U,Semi Final,Won,Daryl Gurney,11 V 8,95.48
157,Michael van Gerwen,05/11/2017,World Series Of Darts Finals,PDC U,Quarter Final,Won,Rob Cross,10 V 4,108.83
158,Michael van Gerwen,04/11/2017,World Series Of Darts Finals,PDC U,Last 16,Won,Max Hopp,6 V 1,102.98
159,Michael van Gerwen,29/10/2017,European Championship,PDC Premier,Final,Won,Rob Cross,11 V 7,108.91
160,Michael van Gerwen,29/10/2017,European Championship,PDC Premier,Semi Final,Won,Kyle Anderson,11 V 10,95.39
161,Michael van Gerwen,29/10/2017,European Championship,PDC Premier,Quarter Final,Won,Simon Whitlock,10 V 5,100.80
162,Michael van Gerwen,27/10/2017,European Championship,PDC Premier,Last 16,Won,Ian White,10 V 1,105.41
163,Michael van Gerwen,26/10/2017,European Championship,PDC Premier,Last 32,Won,Jan Dekker,6 V 2,95.95
164,Michael van Gerwen,20/10/2017,PDC German Darts Masters World Series,PDC U,Last 16,Won,Martin Schindler,6 V 2,96.83
165,Michael van Gerwen,15/10/2017,PDC European Darts Trophy,PDC ET,Final,Won,Rob Cross,6 V 4,96.70
166,Michael van Gerwen,15/10/2017,PDC European Darts Trophy,PDC ET,Semi Final,Won,Simon Whitlock,6 V 1,110.39
167,Michael van Gerwen,15/10/2017,PDC European Darts Trophy,PDC ET,Quarter Final,Won,Joe Cullen,6 V 0,103.66
168,Michael van Gerwen,15/10/2017,PDC European Darts Trophy,PDC ET,Last 16,Won,Stephen Bunting,6 V 1,100.60
169,Michael van Gerwen,14/10/2017,PDC European Darts Trophy,PDC ET,Last 32,Won,Zoran Lerchbacher,6 V 3,91.47
170,Michael van Gerwen,01/10/2017,World Grand Prix,PDC Premier,Last 32,Lost,John Henderson,1 V 2,d 87.64
171,Michael van Gerwen,17/09/2017,Champions League of Darts,PDC U,Last 8 Group 4th,Lost,Phil Taylor,9 V 10,102.89
172,Michael van Gerwen,16/09/2017,Champions League of Darts,PDC U,Last 8 Group 4th,Won,Adrian Lewis,10 V 4,97.18
173,Michael van Gerwen,16/09/2017,Champions League of Darts,PDC U,Last 8 Group 4th,Lost,Raymond van Barneveld,5 V 10,97.46
174,Michael van Gerwen,10/09/2017,PDC German Darts Grand Prix,PDC ET,Final,Won,Rob Cross,6 V 3,111.00
175,Michael van Gerwen,10/09/2017,PDC German Darts Grand Prix,PDC ET,Semi Final,Won,Simon Whitlock,6 V 0,100.20
176,Michael van Gerwen,10/09/2017,PDC German Darts Grand Prix,PDC ET,Quarter Final,Won,Jelle Klaasen,6 V 1,102.56
177,Michael van Gerwen,10/09/2017,PDC German Darts Grand Prix,PDC ET,Last 16,Won,Gerwyn Price,6 V 2,98.68
178,Michael van Gerwen,09/09/2017,PDC German Darts Grand Prix,PDC ET,Last 32,Won,Richard North,6 V 0,111.33
179,Michael van Gerwen,03/09/2017,PDC Dutch Darts Masters,PDC ET,Final,Won,Steve Beaton,6 V 1,99.59
180,Michael van Gerwen,03/09/2017,PDC Dutch Darts Masters,PDC ET,Semi Final,Won,Michael Smith,6 V 2,100.42
181,Michael van Gerwen,03/09/2017,PDC Dutch Darts Masters,PDC ET,Quarter Final,Won,Daryl Gurney,6 V 5,104.13
182,Michael van Gerwen,03/09/2017,PDC Dutch Darts Masters,PDC ET,Last 16,Won,Kyle Anderson,6 V 1,107.60
183,Michael van Gerwen,02/09/2017,PDC Dutch Darts Masters,PDC ET,Last 32,Won,Jeffrey de Zwaan,6 V 1,99.66
184,Michael van Gerwen,28/07/2017,World Matchplay,PDC Premier,Quarter Final,Lost,Phil Taylor,6 V 16,101.07
185,Michael van Gerwen,26/07/2017,World Matchplay,PDC Premier,Last 16,Won,Simon Whitlock,11 V 3,99.97
186,Michael van Gerwen,24/07/2017,World Matchplay,PDC Premier,Last 32,Won,Stephen Bunting,10 V 4,98.55
187,Michael van Gerwen,15/07/2017,US Darts Masters,PDC U,Final,Won,Daryl Gurney,8 V 6,101.35
188,Michael van Gerwen,15/07/2017,US Darts Masters,PDC U,Semi Final,Won,Gerwyn Price,8 V 0,101.04
189,Michael van Gerwen,15/07/2017,US Darts Masters,PDC U,Quarter Final,Won,Dave Richardson,8 V 1,95.70
190,Michael van Gerwen,14/07/2017,US Darts Masters,PDC U,Last 16,Won,Chris White,6 V 0,104.86
191,Michael van Gerwen,07/07/2017,Shanghai Masters,PDC U,Final,Won,Dave Chisnall,8 V 0,102.77
192,Michael van Gerwen,07/07/2017,Shanghai Masters,PDC U,Semi Final,Won,James Wade,8 V 3,99.84
193,Michael van Gerwen,07/07/2017,Shanghai Masters,PDC U,Quarter Final,Won,Phil Taylor,8 V 7,100.85
194,Michael van Gerwen,06/07/2017,Shanghai Masters,PDC U,Last 16,Won,Hai Long Chen,6 V 0,112.73
195,Michael van Gerwen,02/07/2017,PDC European Darts Open,PDC ET,Last 16,Lost,Rob Cross,2 V 6,102.92
196,Michael van Gerwen,01/07/2017,PDC European Darts Open,PDC ET,Last 32,Won,Vincent van der Voort,6 V 0,96.97
197,Michael van Gerwen,25/06/2017,PDC Austrian Darts Open,PDC ET,Final,Won,Michael Smith,6 V 5,105.16
198,Michael van Gerwen,25/06/2017,PDC Austrian Darts Open,PDC ET,Semi Final,Won,Cristo Reyes,6 V 1,115.57
199,Michael van Gerwen,25/06/2017,PDC Austrian Darts Open,PDC ET,Quarter Final,Won,Martin Schindler,6 V 1,101.13
200,Michael van Gerwen,25/06/2017,PDC Austrian Darts Open,PDC ET,Last 16,Won,Vincent van der Meer,6 V 3,96.31
201,Michael van Gerwen,24/06/2017,PDC Austrian Darts Open,PDC ET,Last 32,Won,Christian Kallinger,6 V 1,94.96
202,Michael van Gerwen,11/06/2017,PDC European Matchplay,PDC ET,Final,Won,Mensur Suljovic,6 V 3,102.05
203,Michael van Gerwen,11/06/2017,PDC European Matchplay,PDC ET,Semi Final,Won,Michael Smith,6 V 3,99.73
204,Michael van Gerwen,11/06/2017,PDC European Matchplay,PDC ET,Quarter Final,Won,Pete Hudson,6 V 4,106.10
205,Michael van Gerwen,10/06/2017,PDC European Matchplay,PDC ET,Last 32,Won,John Henderson,6 V 2,107.68
206,Michael van Gerwen,04/06/2017,PDC World Cup of Darts,PDC U,Final Sub Match,Won,Gerwyn Price,4 V 0,98.56
207,Michael van Gerwen,04/06/2017,PDC World Cup of Darts,PDC U,Semi Final Sub Match,Won,Adrian Lewis,4 V 3,99.35
208,Michael van Gerwen,04/06/2017,PDC World Cup of Darts,PDC U,Quarter Final Sub Match,Won,Martin Schindler,4 V 2,97.31
209,Michael van Gerwen,03/06/2017,PDC World Cup of Darts,PDC U,Last 16 Sub Match,Won,Darin Young,4 V 2,93.87
210,Michael van Gerwen,25/05/2017,Dubai Masters,PDC U,Final,Lost,Gary Anderson,7 V 11,110.46
211,Michael van Gerwen,25/05/2017,Dubai Masters,PDC U,Semi Final,Won,Gerwyn Price,11 V 3,96.91
212,Michael van Gerwen,24/05/2017,Dubai Masters,PDC U,Quarter Final,Won,Raymond van Barneveld,10 V 5,104.87
213,Michael van Gerwen,18/05/2017,Premier League,PDC U,Final,Won,Peter Wright,11 V 10,104.76
214,Michael van Gerwen,18/05/2017,Premier League,PDC U,Semi Final,Won,Gary Anderson,10 V 7,102.22
215,Michael van Gerwen,11/05/2017,Premier League,PDC U,League 10,Won,Gary Anderson,7 V 4,103.56
216,Michael van Gerwen,07/05/2017,PDC European Darts Grand Prix,PDC ET,Final,Lost,Peter Wright,0 V 6,99.56
217,Michael van Gerwen,07/05/2017,PDC European Darts Grand Prix,PDC ET,Semi Final,Won,Dave Chisnall,6 V 5,105.85
